Any,Núm. Mes,Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Canal dels fets,Tipus de fet,Títol del fet (Codi Penal) o Llei de referència,Tipus de fet (Codi penal) o d'Infracció (altres lleis),Àmbit fet,Nombre fets o infraccions,Nombre víctimes
2023,8,agost,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,baix camp,Reus,empr. de la construcció,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,origen racial,1,
2023,8,agost,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,maresme,Premià de Mar,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,origen racial,1,
2023,8,agost,RP  Metropolitana Nord,ABP Badalona,Barcelona,barcelones,Badalona,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,8,agost,RP  Metropolitana Nord,ABP Badalona,Barcelona,barcelones,Badalona,bar_cc,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,8,agost,RP Camp de Tarragona,ABP Tarragonès,Tarragona,tarragones,Tarragona,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),origen racial,1,
2023,8,agost,RP Girona,ABP Alt Empordà - Roses,Girona,alt emporda,Roses,hab. 2a res. pis/apartament,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Expressions, càntics, pancartes o símbols amb cont",Antisemita,1,
2023,8,agost,RP Pirineu Occidental,ABP Pallars Jussà - Pallars Sobirà,Lleida,pallars jussa,Senterada,hab. escala/portal finca/replà,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Assetjament, comportaments agressius, colpejar o",origen racial,1,
2023,8,agost,RP Metropolitana Sud,ABP Gavà,Barcelona,baix llobregat,Gavà,hab. 1a res. pis/apartament,Presencial,delictes,06.- contra la llibertat,Amenaces (lleu),Islamofòbia,1,
2023,8,agost,RP  Metropolitana Nord,ABP Rubí,Barcelona,valles occidental,Sant Cugat del Vallès,hab. 1a res. casa adossada,Internet o xarxes socials,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,Islamofòbia,1,
2023,8,agost,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,06.- contra la llibertat,Amenaces,LGTBI-fòbia,1,
2023,8,agost,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,segria,Torres de Segre,via pública urbana,Presencial,delictes,13.-del. con. el patrimoni,Furt,Orientació política,1,
2023,8,agost,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,segria,Lleida,via pública urbana,Presencial,delictes,13.-del. con. el patrimoni,Robatori amb violència i/o intimidació,origen racial,1,
2023,8,agost,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Llagostera,taller de vehicles_com,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,Islamofòbia,1,
2023,8,agost,RP Metropolitana Sud,ABP Cornellà de Llobregat,Barcelona,baix llobregat,Cornellà de Llobregat,hab. 1a res. pis/apartament,Internet o xarxes socials,delictes,06.- contra la llibertat,Amenaces (lleu),Orientació política,1,
2023,8,agost,RP Metropolitana Sud,ABP Gavà,Barcelona,baix llobregat,Viladecans,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,discapacitat mental,1,
2023,8,agost,RP Camp de Tarragona,ABP Tarragonès,Tarragona,tarragones,el Catllar,centre penitenciari,Presencial,delictes,01.-de l'homicidi i les seves formes,Homicidi dolós,Sexisme,1,
2023,8,agost,RP Girona,ABP Alt Empordà - Roses,Girona,alt emporda,Castelló d'Empúries,bar musical_com,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,8,agost,RP  Metropolitana Nord,ABP Sabadell,Barcelona,valles occidental,Sabadell,centre de menors,Internet o xarxes socials,delictes,06.- contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,
2023,8,agost,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,baix camp,Vinyols i els Arcs,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
2023,8,agost,RP  Metropolitana Nord,ABP Badalona,Barcelona,barcelones,Badalona,tren renfe-adif estació,Presencial,delictes,22.-delictes contra l'ordre public,Atemptat a  agents de l' autoritat,origen racial,1,
2023,8,agost,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Girona,centre de menors,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,8,agost,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Girona,tren ave estació,Presencial,delictes,06.- contra la llibertat,Amenaces,origen racial,1,
2023,8,agost,RP Ponent,ABP Noguera,Lleida,noguera,Ivars de Noguera,via pública urbana,Presencial,delictes,06.- contra la llibertat,Amenaces (lleu),Antigitanisme,1,
2023,8,agost,RP Camp de Tarragona,ABP Tarragonès,Tarragona,tarragones,Vila-seca,via pública urbana,Presencial,altres,fets varis,Diligències informatives,origen racial,1,
2023,8,agost,RP Metropolitana Sud,ABP Sant Feliu de Llobregat,Barcelona,baix llobregat,Cervelló,hab. 1a res. pis/apartament,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. Públiques,origen racial,1,
2023,8,agost,RP  Metropolitana Nord,ABP Santa Coloma de Gramenet,Barcelona,barcelones,Santa Coloma de Gramenet,metro estació,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
2023,8,agost,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Girona,via pública urbana,Presencial,delictes,06.- contra la llibertat,Amenaces,origen racial,1,
2023,8,agost,RP Central,ABP Osona,Barcelona,osona,Sant Bartomeu del Grau,depen. govern local,Presencial,delictes,13.-del. con. el patrimoni,Furt (lleu),Orientació política,1,
2023,8,agost,RP  Metropolitana Nord,ABP Sabadell,Barcelona,valles occidental,Sabadell,bar_com,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Impedir o denegar tràmits, prestacions o låaccés a",discapacitat fisica,1,
2023,8,agost,RP  Metropolitana Nord,ABP Arenys de Mar,Barcelona,maresme,Canet de Mar,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions,origen racial,1,
2023,8,agost,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,barcelones,Barcelona,hab. 1a res. pis/apartament,Presencial,delictes,03.-de les lesions,Maltractaments en l'àmbit de la llar,LGTBI-fòbia,1,
2023,8,agost,RP  Metropolitana Nord,ABP Mataró,Barcelona,maresme,Mataró,discoteca_com,Presencial,delictes,07.-de les tortures i delictes contra l'inte.moral,Tracte degradant / vexatori,origen racial,1,
2023,8,agost,RP Metropolitana Barcelona,ABP Eixample,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,13.-del. con. el patrimoni,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,
2023,8,agost,RP Ponent,ABP Segarra - Urgell,Lleida,urgell,Tàrrega,altres espais oberts,Presencial,delictes,13.-del. con. el patrimoni,Danys (lleu),Orientació política,1,
2023,8,agost,RP Central,ABP Anoia,Barcelona,anoia,Piera,hab. 1a res. casa aïllada/4vents,Presencial,delictes,06.- contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,
2023,8,agost,RP Metropolitana Sud,ABP Esplugues de Llobregat,Barcelona,baix llobregat,Sant Just Desvern,bar_com,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Expressions, càntics, pancartes o símbols amb cont",LGTBI-fòbia,1,
2023,8,agost,RP Girona,ABP Garrotxa,Girona,garrotxa,Besalú,habitatge / edifici en construcció,Presencial,delictes,06.- contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,
2023,8,agost,RP Central,ABP Osona,Barcelona,osona,Manlleu,hab. 1a res. pis/apartament,Presencial,delictes,06.- contra la llibertat,Amenaces,origen racial,1,
2023,8,agost,RP  Metropolitana Nord,ABP Granollers,Barcelona,valles oriental,les Franqueses del Vallès,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions,origen racial,1,
2023,9,setembre,RP Central,ABP Osona,Barcelona,osona,Olost,via pública urbana,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Expressions, càntics, pancartes o símbols amb cont",LGTBI-fòbia,1,
2023,9,setembre,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Girona,universitat,Presencial,delictes,07.-de les tortures i delictes contra l'inte.moral,Tracte degradant / vexatori,Malaltia,1,
2023,9,setembre,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Girona,universitat,Presencial,delictes,07.-de les tortures i delictes contra l'inte.moral,Tracte degradant / vexatori,Sexisme,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,origen racial,1,
2023,9,setembre,RP Terres de l'Ebre,ABP Montsià,Tarragona,montsia,Amposta,via pública urbana,Presencial,delictes,07.-de les tortures i delictes contra l'inte.moral,Tracte degradant / vexatori,origen racial,1,
2023,9,setembre,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,baix camp,Mont-roig del Camp,zona d'oci/lúdica,Presencial,delictes,13.-del. con. el patrimoni,Furt,LGTBI-fòbia,1,
2023,9,setembre,RP Girona,ABP Gironès - Pla de l'Estany,Girona,girones,Girona,via pública urbana,Presencial,delictes,07.-de les tortures i delictes contra l'inte.moral,Tracte degradant / vexatori,LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),origen racial,1,
2023,9,setembre,RP Central,ABP Osona,Barcelona,osona,Manlleu,via pública urbana,Presencial,delictes,06.- contra la llibertat,Amenaces (lleu),origen racial,1,
2023,9,setembre,RP Ponent,ABP Noguera,Lleida,noguera,Àger,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,origen racial,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,13.-del. con. el patrimoni,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,
2023,9,setembre,RP Central,ABP Osona,Barcelona,osona,Esquirol,depen. govern local,Presencial,delictes,13.-del. con. el patrimoni,Furt (lleu),Orientació política,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Rubí,Barcelona,valles occidental,Sant Cugat del Vallès,hab. 1a res. pis/apartament,Internet o xarxes socials,delictes,11.-del. contra l'honor,Injúria,origen racial,1,
2023,9,setembre,RP Metropolitana Sud,ABP Garraf,Barcelona,garraf,Sant Pere de Ribes,hab. 1a res. pis/apartament,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,valles occidental,Barberà del Vallès,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions,origen racial,1,
2023,9,setembre,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,baix camp,Reus,hab. 1a res. pis/apartament,Presencial,delictes,13.-del. con. el patrimoni,Robatori amb força,Islamofòbia,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,13.-del. con. el patrimoni,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Sud,ABP Garraf,Barcelona,garraf,Sant Pere de Ribes,hab. 1a res. casa aïllada/4vents,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,Orientació política,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Gràcia,Barcelona,barcelones,Barcelona,parcs/jardins,Presencial,delictes,03.-de les lesions,Lesions (lleu),origen racial,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,origen racial,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Terrassa,Barcelona,valles occidental,Terrassa,via pública urbana,Presencial,delictes,06.- contra la llibertat,Amenaces (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Sarrià-Sant Gervasi,Barcelona,barcelones,Barcelona,clínica,Presencial,delictes,03.-de les lesions,Maltractament d'obra sense lesió (lleu),origen racial,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Eixample,Barcelona,barcelones,Barcelona,bar_com,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Sud,ABP Alt Penedès,Barcelona,alt penedes,Vilafranca del Penedès,depen. judicial,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,origen racial,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Badalona,Barcelona,barcelones,Badalona,metro comboi,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,NORMATIVA ADMINISTRATIVA ODI I DISCRIMINACIÓ GEN.,LGTBI-fòbia,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,valles occidental,Barberà del Vallès,via pública urbana,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Expressions, càntics, pancartes o símbols amb cont",origen racial,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,barcelones,Barcelona,hospital,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,9,setembre,RP Camp de Tarragona,ABP Alt Camp - C. de Barberà,Tarragona,conca de barbera,Montblanc,hab. 1a res. pis/apartament,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Expressions, càntics, pancartes o símbols amb cont",origen racial,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Sant Martí,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,13.-del. con. el patrimoni,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,maresme,Alella,camp de futbol,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Expressions, càntics, pancartes o símbols amb cont",origen racial,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Terrassa,Barcelona,valles occidental,Terrassa,hab. 1a res. pis/apartament,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,Islamofòbia,1,
2023,9,setembre,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,baix camp,Reus,hab. 1a res. pis/apartament,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,Islamofòbia,1,
2023,9,setembre,RP Metropolitana Sud,ABP Martorell,Barcelona,baix llobregat,Martorell,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP Central,ABP Bages,Barcelona,bages,Sant Joan de Vilatorrada,depen. govern local,Presencial,delictes,06.- contra la llibertat,Coaccions (lleu),Orientació política,1,
2023,9,setembre,RP Metropolitana Sud,ABP Sant Boi de Llobregat,Barcelona,baix llobregat,Sant Boi de Llobregat,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,origen racial,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Sants-Montjuïc,Barcelona,barcelones,Barcelona,bar_com,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Santa Coloma de Gramenet,Barcelona,barcelones,Santa Coloma de Gramenet,hab. 1a res. pis/apartament,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,9,setembre,RP Pirineu Occidental,ABP Cerdanya,Girona,cerdanya,Puigcerdà,via pública urbana,Presencial,infraccio administrativa,normativa administrativa odi i discriminacio,"Expressions, càntics, pancartes o símbols amb cont",origen racial,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,LGTBI-fòbia,1,
2023,9,setembre,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,segria,Soses,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Sabadell,Barcelona,valles occidental,Sabadell,via pública urbana,Presencial,delictes,08.-del. contra la llibertat sexual,Agressió sexual sense penetració (amb viol/intim),Antigitanisme,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Eixample,Barcelona,barcelones,Barcelona,bar_com,Presencial,delictes,03.-de les lesions,Maltractament d'obra sense lesió (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Sant Andreu,Barcelona,barcelones,Barcelona,perfumeria_cc,Presencial,delictes,03.-de les lesions,Maltractament d'obra sense lesió (lleu),origen racial,1,
2023,9,setembre,RP Metropolitana Sud,ABP Alt Penedès,Barcelona,alt penedes,Sant Pere de Riudebitlles,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Sud,ABP l'Hospitalet de Llobregat,Barcelona,barcelones,l' Hospitalet de Llobregat,hab. escala/portal finca/replà,Presencial,delictes,03.-de les lesions,Lesions,origen racial,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,barcelones,Barcelona,hab. 1a res. pis/apartament,Presencial,altres,fets varis,Diligències informatives,origen racial,1,
2023,9,setembre,RP Central,ABP Bages,Barcelona,bages,Manresa,hab. 1a res. pis/apartament,Presencial,delictes,06.- contra la llibertat,Assetjament,LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Horta-Guinardó,Barcelona,barcelones,Barcelona,hab. 1a res. pis/apartament,Presencial,delictes,06.- contra la llibertat,Coaccions (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP Girona,ABP Selva Litoral,Girona,selva,Lloret de Mar,hotel,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,origen racial,1,
2023,9,setembre,RP Central,ABP Bages,Barcelona,bages,Manresa,autobús terminal/estació,Presencial,delictes,06.- contra la llibertat,Amenaces (lleu),origen racial,1,
2023,9,setembre,RP Terres de l'Ebre,ABP Montsià,Tarragona,montsia,Amposta,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Sud,ABP Martorell,Barcelona,baix llobregat,Abrera,hab. 1a res. casa aïllada/4vents,Internet o xarxes socials,infraccio administrativa,normativa administrativa odi i discriminacio,"Expressions, càntics, pancartes o símbols amb cont",LGTBI-fòbia,1,
2023,9,setembre,RP Terres de l'Ebre,ABP Baix Ebre,Tarragona,baix ebre,Tortosa,pàrquing públic,Presencial,delictes,06.- contra la llibertat,Amenaces (lleu),Islamofòbia,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Granollers,Barcelona,valles oriental,Cardedeu,hab. 1a res. pis/apartament,Internet o xarxes socials,delictes,06.- contra la llibertat,Amenaces,LGTBI-fòbia,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Mataró,Barcelona,maresme,Mataró,institut,Presencial,delictes,06.- contra la llibertat,Assetjament,LGTBI-fòbia,1,
2023,9,setembre,RP Metropolitana Barcelona,ABP Les Corts,Barcelona,barcelones,Barcelona,via pública urbana,Presencial,delictes,06.- contra la llibertat,Assetjament,LGTBI-fòbia,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Cerdanyola,Barcelona,valles occidental,Ripollet,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),Islamofòbia,1,
2023,9,setembre,RP Metropolitana Sud,ABP Alt Penedès,Barcelona,alt penedes,Gelida,via pública urbana,Presencial,delictes,21.-delictes contra la constitucio,Contra exer. drets fonamentals i llib. públiques,Sexisme,1,
2023,9,setembre,RP  Metropolitana Nord,ABP Premià de Mar,Barcelona,maresme,Premià de Dalt,hab. 1a res. casa adossada,Internet o xarxes socials,delictes,06.- contra la llibertat,Amenaces,LGTBI-fòbia,1,
2023,10,octubre,RP Camp de Tarragona,ABP Alt Camp - C. de Barberà,Tarragona,alt camp,Valls,via pública urbana,Presencial,delictes,03.-de les lesions,Lesions (lleu),LGTBI-fòbia,1,
